x,y,z,Seconds,Microseconds,,,,
0,0,0,0,352000,,,,
,,,,,,,,
0,0,0,0,356000,,,,
,,,,,,,,
0,0,0,0,356000,,,,
,,,,,,,,
0,0,0,0,360000,,,,
,,,,,,,,
0,0,0,0,360000,,,,
,,,,,,,,
66,194,127,0,360000,,,,
,,,,,,,,
0,0,0,0,360000,,,,
,,,,,,,,
0,0,0,0,360000,,,,
,,,,,,,,
0,0,0,0,360000,,,,
,,,,,,,,
0,0,0,0,375000,,,,
,,,,,,,,
0,0,0,0,375000,,,,
,,,,,,,,
0,0,0,0,375000,,,,
,,,,,,,,
0,0,0,0,375000,,,,
,,,,,,,,
0,0,0,0,375000,,,,
,,,,,,,,
0,0,0,0,375000,,,,
,,,,,,,,
0,0,0,0,391000,,,,
,,,,,,,,
0,0,0,0,391000,,,,
,,,,,,,,
0,0,0,0,391000,,,,
,,,,,,,,
0,0,0,0,391000,,,,
,,,,,,,,
0,0,0,0,391000,,,,
,,,,,,,,
0,0,0,0,391000,,,,
,,,,,,,,
0,0,0,0,391000,,,,
,,,,,,,,
0,0,0,0,407000,,,,
,,,,,,,,
0,0,0,0,407000,,,,
,,,,,,,,
124,235,127,0,407000,,,,
,,,,,,,,
0,0,0,0,407000,,,,
,,,,,,,,
0,0,0,0,407000,,,,
,,,,,,,,
0,0,0,0,407000,,,,
,,,,,,,,
0,0,0,0,407000,,,,
,,,,,,,,
0,0,0,0,407000,,,,
,,,,,,,,
0,0,0,0,422000,,,,
,,,,,,,,
0,0,0,0,422000,,,,
,,,,,,,,
0,0,0,0,422000,,,,
,,,,,,,,
0,0,0,0,422000,,,,
,,,,,,,,
0,0,0,0,422000,,,,
,,,,,,,,
0,0,0,0,422000,,,,
,,,,,,,,
0,0,0,0,422000,,,,
,,,,,,,,
0,0,0,0,422000,,,,
,,,,,,,,
0,0,0,0,438000,,,,
,,,,,,,,
0,0,0,0,438000,,,,
,,,,,,,,
0,0,0,0,438000,,,,
,,,,,,,,
0,0,0,0,438000,,,,
,,,,,,,,
0,0,0,0,438000,,,,
,,,,,,,,
0,0,0,0,438000,,,,
,,,,,,,,
0,0,0,0,438000,,,,
,,,,,,,,
0,0,0,0,454000,,,,
,,,,,,,,
0,0,0,0,454000,,,,
,,,,,,,,
90,242,105,0,454000,,,,
,,,,,,,,
0,0,0,0,454000,,,,
,,,,,,,,
0,0,0,0,454000,,,,
,,,,,,,,
0,0,0,0,454000,,,,
,,,,,,,,
0,0,0,0,454000,,,,
,,,,,,,,
0,0,0,0,469000,,,,
,,,,,,,,
0,0,0,0,469000,,,,
,,,,,,,,
0,0,0,0,469000,,,,
,,,,,,,,
0,0,0,0,469000,,,,
,,,,,,,,
0,0,0,0,469000,,,,
,,,,,,,,
0,0,0,0,469000,,,,
,,,,,,,,
0,0,0,0,469000,,,,
,,,,,,,,
0,0,0,0,469000,,,,
,,,,,,,,
0,0,0,0,485000,,,,
,,,,,,,,
0,0,0,0,485000,,,,
,,,,,,,,
0,0,0,0,485000,,,,
,,,,,,,,
0,0,0,0,485000,,,,
,,,,,,,,
0,0,0,0,485000,,,,
,,,,,,,,
0,0,0,0,485000,,,,
,,,,,,,,
0,0,0,0,485000,,,,
,,,,,,,,
0,0,0,0,485000,,,,
,,,,,,,,
0,0,0,0,500000,,,,
,,,,,,,,
53,248,75,0,500000,,,,
,,,,,,,,
0,0,0,0,500000,,,,
,,,,,,,,
0,0,0,0,500000,,,,
,,,,,,,,
0,0,0,0,500000,,,,
,,,,,,,,
0,0,0,0,500000,,,,
,,,,,,,,
0,0,0,0,500000,,,,
,,,,,,,,
0,0,0,0,516000,,,,
,,,,,,,,
0,0,0,0,516000,,,,
,,,,,,,,
0,0,0,0,516000,,,,
,,,,,,,,
0,0,0,0,516000,,,,
,,,,,,,,
0,0,0,0,516000,,,,
,,,,,,,,
0,0,0,0,516000,,,,
,,,,,,,,
0,0,0,0,516000,,,,
,,,,,,,,
0,0,0,0,516000,,,,
,,,,,,,,
0,0,0,0,532000,,,,
,,,,,,,,
0,0,0,0,532000,,,,
,,,,,,,,
0,0,0,0,532000,,,,
,,,,,,,,
0,0,0,0,532000,,,,
,,,,,,,,
0,0,0,0,532000,,,,
,,,,,,,,
0,0,0,0,532000,,,,
,,,,,,,,
0,0,0,0,532000,,,,
,,,,,,,,
0,0,0,0,532000,,,,
